Geno	Normfactor	Remove
P39Goodman-Buckler	0.827607805184463	no
Pa762	0.804246968377732	no
Pa875	0.539968544625514	no
Pa880	0.52911220482116	no
Pa91	0.851219448521327	no
R168	0.730796484552888	no
R177	1.30541215984115	no
R229	0.945361471082194	no
R4	0.806737118926916	no
SA24	0.723917219726366	no
SC213R	0.652025319338782	no
SC357	1.0968486152829	no
SC55	0.717199187669216	no
SD40	1.01614265683633	no
SD44	0.310462654801107	yes
Sg1533	1.34615030623571	no
Sg18	1.0815673316969	no
T232	0.856880510201486	no
T234	0.982086712994615	no
T8	1.32424056435332	no
Tx303	0.766070631540966	no
Tx601	2.38135425936219	no
Tzi10	0.973057677909805	no
Tzi11	0.755411354010287	no
Tzi16	1.12644378583866	no
Tzi18	0.832928486573726	no
Tzi25	0.865390017473876	no
Tzi8	0.321372738861919	yes
Tzi9	0.756342921122212	no
U267Y	0.939843727419254	no
VA102	1.05032400394311	no
Va14	0.230956984748752	yes
Va17	0.791455835340918	no
Va22	0.638893806011072	no
Va26	0.945056920295603	no
Va35	0.932391190523855	no
Va59	1.27891624140775	no
Va85	0.719474361192571	no
Va99	1.00241995668759	no
VaW6	5.6023371226031	no
W117Ht	0.547456911025218	no
W153R	0.688284777695241	no
W182B	0.599839646318838	no
W22	0.657990931805531	no
W64A	0.450538101880729	no
Wf9	1.0454332766055	no
Yu796	0.63298193780078	no
