lines,DTS,DTA
R4,79.407,75.432
SA24,80.199,77.806
SC213R,92.084,88.03
SC357,84.519,83.29
SC55,88.972,86.107
SD40,77.827,74.481
Sg1533,79.325,76.671
Sg18,81.765,77.242
T232,83.078,80.243
T234,83.792,81.236
T8,78.702,77.486
Tx303,86.11,82.118
Tx601,91.929,88.205
Tzi10,91.532,91.36
Tzi11,86.806,81.668
Tzi16,83.906,82.853
Tzi18,86.927,84.607
Tzi25,85.158,82.247
Tzi9,84.834,83.441
U267Y,88.56,84.769
VA102,73.105,71.838
Va17,79.121,76.303
Va22,79.373,76.739
Va26,74.48,73.33
Va35,76.804,74.988
Va59,74.562,72.433
Va85,78.243,74.82
Va99,77.999,74.135
VaW6,78.458,75.996
W117Ht,68.165,67.092
W153R,73.394,71.453
W182B,64.958,64.676
W22,76.425,74.18
W64A,75.854,72.266
Wf9,74.422,72.584
Yu796,75.7,74.929
